source,target,weight
0,335,1
1,124,1
2,937,1
3,521,1
3,726,1
4,423,1
4,515,1
5,33,1
5,304,1
5,500,1
6,93,1
7,10,1
7,906,1
7,921,1
8,695,1
8,894,1
8,976,1
9,347,1
9,484,1
10,273,1
11,62,1
12,875,1
13,158,1
13,664,1
13,677,1
14,453,1
14,861,1
15,242,1
15,963,1
16,31,1
16,231,1
17,193,1
17,486,1
17,844,1
18,633,1
18,669,1
19,70,1
19,339,1
19,366,1
19,405,1
19,422,1
20,211,1
20,422,1
20,878,1
21,0,1
21,324,1
22,672,1
22,813,1
22,992,1
22,1005,1
23,43,1
23,470,1
23,602,1
24,283,1
24,391,1
25,180,1
26,993,1
27,3,1
27,782,1
28,571,1
28,600,1
29,270,1
29,360,1
29,738,1
30,114,1
30,149,1
30,392,1
30,729,1
31,962,1
32,28,1
32,363,1
32,751,1
33,265,1
33,313,1
33,540,1
34,329,1
35,118,1
36,800,1
36,931,1
37,247,1
37,332,1
37,437,1
37,720,1
38,509,1
38,682,1
39,298,1
40,87,1
40,451,1
40,864,1
41,900,1
42,613,1
42,689,1
43,478,1
44,267,1
45,56,1
45,387,1
46,168,1
46,280,1
46,869,1
47,17,1
47,658,1
48,447,1
48,904,1
49,236,1
50,25,1
50,130,1
51,838,1
52,627,1
53,104,1
53,416,1
54,205,1
54,303,1
55,1018,1
56,185,1
56,807,1
57,596,1
57,683,1
58,335,1
58,385,1
58,610,1
58,960,1
59,174,1
59,922,1
59,942,1
60,987,1
61,776,1
62,565,1
62,704,1
63,354,1
64,143,1
64,419,1
64,902,1
64,907,1
65,353,1
65,467,1
65,956,1
66,745,1
67,534,1
68,72,1
68,150,1
68,323,1
68,519,1
68,671,1
69,112,1
69,688,1
70,925,1
71,290,1
71,714,1
72,436,1
72,503,1
72,504,1
72,509,1
72,789,1
73,292,1
73,700,1
74,81,1
74,194,1
74,441,1
75,642,1
75,894,1
76,683,1
76,927,1
77,297,1
77,326,1
77,472,1
78,261,1
78,398,1
79,50,1
80,725,1
80,863,1
81,652,1
82,441,1
83,230,1
83,471,1
84,19,1
84,649,1
85,139,1
85,208,1
85,806,1
85,832,1
86,305,1
86,547,1
86,621,1
87,21,1
87,410,1
88,199,1
88,737,1
89,42,1
89,1012,1
90,801,1
90,884,1
91,200,1
91,240,1
91,590,1
91,995,1
92,135,1
92,379,1
93,168,1
94,981,1
95,770,1
96,559,1
97,254,1
97,348,1
98,137,1
98,351,1
98,616,1
99,950,1
99,987,1
100,739,1
101,528,1
101,563,1
101,826,1
101,867,1
101,982,1
102,183,1
102,317,1
102,374,1
103,106,1
103,964,1
104,919,1
105,708,1
105,714,1
106,497,1
106,569,1
107,286,1
107,474,1
108,75,1
108,748,1
109,84,1
109,888,1
110,677,1
111,466,1
111,754,1
112,255,1
113,44,1
113,285,1
113,734,1
114,857,1
115,343,1
115,646,1
116,435,1
117,224,1
117,272,1
117,631,1
118,13,1
119,232,1
119,720,1
119,826,1
120,164,1
120,615,1
120,952,1
121,404,1
121,989,1
122,193,1
122,491,1
123,838,1
123,924,1
123,1006,1
124,506,1
124,795,1
124,805,1
125,584,1
126,373,1
126,612,1
126,978,1
127,162,1
127,223,1
127,555,1
127,947,1
128,379,1
128,975,1
129,497,1
129,764,1
130,209,1
130,553,1
131,56,1
131,342,1
132,131,1
132,325,1
132,1004,1
133,944,1
134,733,1
135,522,1
136,311,1
137,100,1
138,913,1
139,702,1
140,40,1
140,491,1
140,787,1
141,62,1
141,218,1
141,280,1
142,69,1
143,57,1
143,152,1
143,314,1
143,882,1
144,137,1
144,545,1
144,671,1
144,856,1
145,460,1
145,1003,1
146,249,1
147,38,1
147,222,1
148,13,1
148,172,1
148,851,1
148,899,1
149,640,1
150,55,1
150,429,1
150,645,1
151,218,1
152,7,1
152,652,1
153,432,1
153,498,1
153,598,1
153,820,1
153,1019,1
154,609,1
