source,target,weight
0,9,1
0,43,1
0,79,1
1,124,1
2,41,1
3,86,1
4,3,1
5,17,1
5,38,1
5,48,1
5,63,1
6,93,1
7,0,1
7,10,1
7,46,1
8,53,1
8,55,1
8,71,1
8,72,1
9,100,1
10,17,1
10,27,1
11,62,1
11,122,1
12,107,1
13,15,1
13,24,1
13,109,1
14,69,1
15,40,1
15,114,1
16,31,1
16,77,1
16,89,1
17,76,1
18,91,1
18,121,1
19,32,1
19,38,1
20,83,1
20,99,1
20,118,1
21,0,1
21,34,1
21,47,1
21,96,1
22,45,1
22,78,1
23,90,1
23,92,1
23,120,1
24,7,1
24,14,1
25,52,1
25,81,1
26,45,1
26,97,1
27,14,1
28,59,1
28,62,1
28,95,1
29,86,1
29,104,1
29,115,1
30,21,1
31,60,1
31,66,1
31,82,1
32,3,1
32,111,1
33,28,1
33,104,1
34,73,1
35,21,1
35,69,1
35,118,1
36,23,1
36,35,1
36,111,1
36,117,1
36,124,1
36,125,1
37,20,1
37,80,1
38,125,1
39,42,1
40,39,1
40,65,1
40,87,1
40,107,1
41,4,1
41,36,1
41,97,1
42,49,1
43,94,1
44,11,1
44,22,1
44,50,1
45,56,1
45,105,1
46,101,1
47,18,1
48,63,1
48,90,1
49,108,1
50,25,1
50,114,1
51,70,1
51,102,1
52,1,1
52,4,1
52,115,1
53,32,1
54,77,1
55,112,1
55,122,1
56,39,1
57,16,1
57,50,1
57,84,1
58,1,1
59,46,1
59,94,1
60,91,1
61,8,1
61,79,1
62,53,1
62,59,1
62,68,1
63,10,1
63,49,1
63,98,1
63,116,1
64,15,1
65,60,1
66,105,1
67,22,1
68,13,1
68,64,1
68,67,1
68,75,1
68,108,1
69,112,1
70,29,1
70,85,1
71,74,1
71,76,1
71,103,1
72,110,1
72,119,1
73,36,1
74,42,1
74,56,1
74,81,1
75,126,1
76,43,1
76,70,1
77,88,1
78,5,1
79,50,1
80,95,1
81,12,1
81,61,1
82,2,1
82,28,1
82,57,1
82,121,1
83,88,1
83,102,1
83,106,1
84,19,1
85,52,1
85,64,1
86,51,1
86,80,1
86,109,1
87,26,1
88,71,1
89,116,1
90,26,1
90,30,1
90,33,1
90,48,1
91,8,1
91,78,1
92,11,1
92,79,1
92,123,1
93,40,1
94,6,1
94,33,1
94,85,1
95,2,1
96,5,1
96,47,1
97,24,1
97,92,1
98,9,1
98,12,1
98,83,1
99,54,1
99,87,1
100,99,1
101,16,1
102,18,1
102,61,1
103,106,1
104,7,1
104,23,1
105,41,1
105,68,1
106,19,1
106,44,1
106,113,1
107,29,1
107,30,1
108,25,1
108,75,1
109,31,1
109,120,1
110,37,1
110,57,1
111,82,1
112,127,1
113,44,1
113,101,1
114,89,1
115,6,1
115,100,1
115,119,1
116,51,1
116,55,1
116,127,1
117,37,1
117,58,1
117,74,1
117,96,1
117,123,1
118,13,1
119,58,1
120,66,1
120,67,1
120,103,1
121,20,1
122,65,1
122,84,1
122,126,1
123,73,1
123,98,1
123,110,1
124,27,1
124,35,1
125,72,1
126,93,1
126,117,1
127,34,1
