source,target,weight
0,335,1
0,2781,1
0,4297,1
0,5855,1
1,124,1
1,551,1
1,1716,1
1,5490,1
2,6195,1
2,8105,1
3,7894,1
4,7683,1
5,4898,1
5,7472,1
6,7261,1
7,7050,1
8,6630,1
8,6839,1
9,6628,1
10,800,1
10,6417,1
10,8128,1
11,3011,1
11,6206,1
12,5995,1
13,5784,1
14,5573,1
14,6221,1
15,1330,1
15,4846,1
15,5362,1
16,5151,1
17,4940,1
17,6432,1
18,1945,1
18,4729,1
19,4518,1
20,4307,1
21,2985,1
21,4096,1
21,4634,1
22,3885,1
22,4483,1
23,2900,1
23,3674,1
23,4840,1
24,2788,1
24,3463,1
25,1343,1
25,2020,1
25,3252,1
26,3041,1
27,2830,1
28,2460,1
28,2619,1
29,2408,1
30,2197,1
30,3090,1
30,4239,1
30,5738,1
31,1986,1
32,442,1
32,1775,1
32,2910,1
33,1564,1
34,1353,1
34,6523,1
35,1142,1
35,3786,1
36,931,1
36,4890,1
37,720,1
37,5842,1
37,6180,1
37,7683,1
38,509,1
38,936,1
39,298,1
39,1644,1
39,6402,1
40,87,1
41,8068,1
42,7857,1
43,7646,1
44,2617,1
44,7435,1
44,7882,1
45,7106,1
45,7224,1
46,7013,1
47,6802,1
48,621,1
48,2195,1
48,4363,1
48,6591,1
49,2075,1
49,4766,1
49,6380,1
50,3145,1
50,3154,1
50,4510,1
50,6169,1
51,3637,1
51,5958,1
52,398,1
52,5747,1
53,5536,1
54,5325,1
55,2643,1
55,3739,1
55,4630,1
55,5111,1
55,5114,1
55,7109,1
56,2233,1
56,4316,1
56,4903,1
57,4692,1
57,7631,1
58,165,1
58,4481,1
59,4270,1
60,3882,1
60,4059,1
61,720,1
61,1609,1
61,3848,1
61,4015,1
62,2548,1
62,3637,1
63,3426,1
64,360,1
64,3215,1
64,7739,1
65,3004,1
66,1895,1
66,2793,1
66,3879,1
66,4734,1
66,6114,1
66,7579,1
67,2582,1
68,2371,1
69,2160,1
69,7335,1
69,7389,1
70,1949,1
70,4121,1
70,7866,1
71,1738,1
71,5250,1
72,678,1
72,1527,1
72,3928,1
72,5671,1
73,1316,1
74,1105,1
75,894,1
75,7079,1
76,683,1
76,4001,1
76,5333,1
77,472,1
77,6753,1
78,261,1
79,50,1
80,1266,1
80,6712,1
80,8031,1
81,7820,1
82,7609,1
83,2294,1
83,7398,1
84,7187,1
85,4558,1
85,6976,1
85,7133,1
86,6765,1
87,1162,1
87,4156,1
87,6554,1
88,6343,1
89,1680,1
89,6132,1
90,2450,1
90,5921,1
91,969,1
91,3265,1
91,5710,1
92,4638,1
92,5499,1
92,8092,1
93,4523,1
93,5288,1
94,5077,1
95,4866,1
96,3494,1
96,4655,1
96,7310,1
97,1672,1
97,4444,1
98,4233,1
98,6524,1
99,4022,1
100,1760,1
100,3811,1
100,7021,1
101,273,1
101,3600,1
