source,target,weight
0,335,1
0,6158,1
1,124,1
1,30910,1
2,13455,1
2,32681,1
3,12326,1
3,14789,1
3,28468,1
3,32470,1
4,17486,1
4,32259,1
5,32048,1
6,5613,1
6,31837,1
7,26933,1
7,31626,1
8,31415,1
8,31454,1
9,15845,1
9,31204,1
10,888,1
10,18694,1
10,26457,1
10,30993,1
11,3376,1
11,29028,1
11,30782,1
12,19943,1
12,22184,1
12,24729,1
12,30571,1
13,30360,1
14,27714,1
14,30149,1
15,15497,1
15,29938,1
16,29727,1
17,17375,1
17,21165,1
17,29516,1
18,29305,1
19,13829,1
19,29094,1
20,4178,1
20,23811,1
20,28883,1
21,28542,1
21,28672,1
22,16709,1
22,28461,1
23,13685,1
23,16588,1
23,28250,1
24,20118,1
24,28039,1
25,2508,1
25,9329,1
25,27828,1
26,1578,1
26,11857,1
26,21199,1
26,27617,1
27,12102,1
27,27406,1
28,11461,1
28,27195,1
29,26984,1
30,26773,1
31,21218,1
31,26562,1
32,4681,1
32,16653,1
32,20254,1
32,26351,1
33,26140,1
34,25929,1
35,25718,1
36,25507,1
36,27383,1
36,31747,1
37,15046,1
37,25296,1
37,27822,1
38,25085,1
39,24874,1
40,24663,1
40,32367,1
41,24452,1
42,24241,1
43,7203,1
43,14098,1
43,19757,1
43,24030,1
44,23819,1
45,9788,1
45,23608,1
46,23397,1
47,23186,1
48,22975,1
49,22764,1
50,9965,1
50,22553,1
50,25093,1
51,22342,1
51,30920,1
52,619,1
52,22131,1
52,22498,1
53,21920,1
54,9381,1
54,21709,1
54,21880,1
55,20974,1
55,21498,1
55,27985,1
56,21287,1
56,26620,1
57,2313,1
57,21076,1
58,20865,1
58,29388,1
59,20654,1
59,20865,1
60,20443,1
61,20232,1
62,17402,1
62,20021,1
63,5529,1
63,10603,1
63,19810,1
64,19599,1
65,19388,1
66,17615,1
66,19177,1
66,22017,1
67,14930,1
67,18966,1
67,26669,1
68,1833,1
68,18755,1
68,28159,1
69,13152,1
69,18544,1
70,4957,1
70,18333,1
71,7992,1
71,9503,1
71,18122,1
71,22058,1
71,31414,1
72,14903,1
72,17911,1
73,2232,1
73,17700,1
74,17489,1
75,17278,1
76,11665,1
76,17067,1
76,25663,1
77,16856,1
78,9180,1
78,16645,1
79,16434,1
79,18493,1
79,23980,1
80,16223,1
80,21281,1
81,16012,1
82,6075,1
82,15801,1
82,17994,1
83,15052,1
