source,target,weight
0,15,1
0,24,1
1,51,1
1,60,1
2,41,1
3,21,1
3,22,1
4,3,1
5,30,1
5,48,1
6,3,1
6,4,1
6,29,1
6,43,1
6,50,1
6,53,1
6,62,1
7,0,1
7,10,1
8,52,1
8,55,1
9,22,1
9,36,1
10,6,1
10,17,1
11,62,1
12,43,1
13,9,1
13,24,1
13,28,1
13,55,1
14,5,1
15,8,1
15,50,1
15,63,1
16,31,1
17,12,1
17,45,1
18,2,1
18,57,1
19,20,1
19,38,1
19,50,1
20,19,1
21,0,1
21,42,1
22,45,1
23,26,1
24,7,1
24,34,1
24,38,1
24,58,1
25,52,1
26,19,1
26,27,1
26,33,1
27,14,1
28,40,1
28,59,1
29,40,1
30,21,1
31,2,1
31,15,1
31,31,1
31,46,1
32,17,1
32,37,1
32,47,1
33,28,1
34,9,1
34,26,1
35,54,1
36,32,1
36,35,1
37,16,1
38,61,1
39,42,1
39,60,1
40,23,1
40,41,1
41,4,1
41,33,1
42,49,1
43,16,1
43,30,1
43,49,1
44,10,1
44,11,1
45,12,1
45,18,1
45,23,1
45,48,1
45,56,1
46,25,1
46,37,1
47,18,1
47,47,1
48,36,1
48,63,1
49,44,1
49,59,1
50,25,1
50,44,1
50,57,1
51,6,1
51,29,1
52,51,1
53,32,1
53,39,1
54,7,1
54,13,1
55,54,1
55,58,1
56,39,1
57,20,1
58,1,1
59,46,1
60,27,1
61,5,1
61,8,1
62,1,1
62,11,1
62,13,1
62,14,1
62,35,1
62,53,1
63,34,1
63,61,1
