source,target,weight
0,98639,1
0,100455,1
0,104025,1
1,23918,1
1,65660,1
1,89021,1
1,93141,1
1,104666,1
1,115561,1
1,115743,1
2,32681,1
2,35448,1
2,35708,1
2,53158,1
2,60565,1
2,65694,1
2,99180,1
2,114778,1
2,126508,1
3,2610,1
3,12436,1
3,15292,1
3,24506,1
3,54980,1
3,63191,1
3,66109,1
3,96058,1
3,123123,1
3,130774,1
4,12797,1
4,32464,1
4,56206,1
4,65841,1
4,97795,1
4,109946,1
4,125674,1
5,64261,1
5,64816,1
6,3515,1
6,31837,1
6,112790,1
7,6130,1
7,40604,1
7,67259,1
7,83159,1
7,87611,1
7,95496,1
7,113877,1
7,129930,1
8,1184,1
8,1219,1
8,6492,1
8,8883,1
8,27204,1
8,38134,1
8,41995,1
8,68211,1
8,73997,1
8,91812,1
8,94575,1
8,96951,1
8,103337,1
8,114103,1
9,9713,1
9,12916,1
9,63972,1
9,67948,1
9,91898,1
10,6156,1
10,10355,1
10,30993,1
10,32584,1
10,53462,1
10,68461,1
10,70861,1
10,89269,1
10,122407,1
10,125186,1
11,31618,1
11,71953,1
11,74537,1
11,82219,1
11,112089,1
11,123717,1
11,129086,1
12,5846,1
12,8390,1
12,24383,1
12,25856,1
12,60095,1
12,61830,1
12,63789,1
12,65630,1
12,79842,1
12,88581,1
12,96107,1
13,58388,1
13,63128,1
14,16936,1
14,21108,1
14,30149,1
14,70428,1
14,99506,1
15,19222,1
15,51926,1
15,118060,1
15,128242,1
16,11601,1
16,64842,1
16,95263,1
16,104220,1
17,44098,1
17,47314,1
17,60599,1
17,62284,1
17,71102,1
17,102112,1
17,103289,1
17,121325,1
17,128244,1
18,29305,1
18,31512,1
18,36072,1
18,40025,1
18,58124,1
18,63120,1
18,115327,1
18,115843,1
18,120308,1
19,12534,1
19,31266,1
19,39921,1
19,55192,1
19,56297,1
19,77929,1
19,99454,1
19,116017,1
19,127398,1
19,128242,1
20,22285,1
20,22350,1
20,28172,1
20,33195,1
20,56001,1
20,86146,1
20,94419,1
20,113788,1
20,130266,1
21,61440,1
21,85799,1
22,10760,1
22,11394,1
22,19023,1
22,25731,1
22,25926,1
22,26549,1
22,28461,1
22,41323,1
22,57927,1
22,63261,1
22,91100,1
23,11734,1
23,32486,1
23,44319,1
23,53547,1
23,104738,1
23,106347,1
23,111237,1
23,126554,1
23,130549,1
24,30197,1
24,93575,1
24,103300,1
24,112902,1
25,11084,1
25,14284,1
25,30756,1
25,60596,1
25,79451,1
25,91711,1
25,99195,1
25,116807,1
25,127142,1
26,15072,1
26,27617,1
26,33946,1
26,37135,1
26,39296,1
26,93146,1
26,101723,1
26,108003,1
26,110802,1
27,2448,1
27,10838,1
27,13860,1
27,30333,1
27,40570,1
27,49661,1
27,66558,1
27,92226,1
27,116347,1
27,125710,1
28,1770,1
28,49129,1
28,92731,1
28,121955,1
28,128472,1
29,2003,1
29,59752,1
29,80778,1
29,90984,1
29,101389,1
29,111143,1
29,113005,1
29,127101,1
29,128958,1
30,5404,1
30,11556,1
30,26773,1
30,36016,1
30,47402,1
30,52563,1
30,54877,1
30,73030,1
30,107047,1
30,111583,1
31,3426,1
31,14363,1
31,14483,1
31,42611,1
31,53752,1
31,53984,1
31,59194,1
31,101653,1
31,113080,1
31,124866,1
32,3506,1
32,13349,1
32,36759,1
32,63496,1
32,73283,1
32,91887,1
32,114235,1
32,126892,1
33,7938,1
33,18951,1
33,37538,1
33,41570,1
33,43589,1
33,53222,1
33,58908,1
33,66111,1
33,72578,1
33,78175,1
33,93823,1
33,102646,1
33,129559,1
34,25929,1
34,31719,1
34,39902,1
34,66216,1
34,69293,1
34,102986,1
34,111989,1
34,119699,1
34,126836,1
35,9224,1
35,41796,1
35,70872,1
35,124022,1
36,24911,1
36,31863,1
36,43317,1
36,51309,1
36,91043,1
36,123564,1
37,14115,1
37,23887,1
37,58064,1
37,80619,1
37,105433,1
37,110763,1
38,25085,1
38,75377,1
38,104776,1
39,1930,1
39,25641,1
39,30596,1
39,51759,1
39,57475,1
39,72810,1
39,77736,1
39,78190,1
39,81989,1
39,90863,1
39,93431,1
39,108046,1
39,108749,1
39,115641,1
39,123178,1
39,129189,1
40,5363,1
40,27148,1
40,27747,1
40,28940,1
40,29628,1
40,90199,1
41,4925,1
41,6378,1
41,35792,1
41,44602,1
41,57220,1
41,57629,1
41,58984,1
41,67414,1
41,68508,1
41,80681,1
41,96978,1
41,102514,1
41,110734,1
42,11094,1
42,24241,1
42,32826,1
42,61146,1
42,94475,1
42,122317,1
43,12546,1
43,21030,1
43,29681,1
43,38089,1
43,47765,1
43,64880,1
43,89613,1
43,98491,1
43,119002,1
43,122334,1
44,22534,1
44,23004,1
44,31678,1
44,62480,1
44,62494,1
44,89355,1
44,104076,1
44,109032,1
44,114473,1
44,126463,1
45,44224,1
45,56376,1
45,63649,1
45,67044,1
45,69929,1
45,85447,1
46,1676,1
46,3617,1
46,23397,1
46,26227,1
46,52025,1
46,65206,1
47,16758,1
47,37829,1
47,46319,1
47,53881,1
47,62900,1
47,65527,1
47,70211,1
47,79235,1
47,94646,1
47,106370,1
47,121490,1
47,128895,1
47,131049,1
48,13304,1
48,41957,1
48,61764,1
48,88511,1
49,3857,1
49,21515,1
49,55532,1
49,59030,1
49,59288,1
49,90759,1
49,101624,1
49,118824,1
49,123399,1
50,22553,1
50,76410,1
50,78616,1
50,80777,1
50,108620,1
50,117871,1
50,129320,1
51,3194,1
51,14540,1
51,39289,1
51,66004,1
51,81291,1
51,87937,1
51,92073,1
51,108286,1
51,114201,1
51,120646,1
52,65541,1
52,79302,1
52,87667,1
52,88587,1
53,54688,1
53,67146,1
53,97161,1
53,100815,1
53,120030,1
54,21709,1
54,27209,1
54,53636,1
54,65572,1
54,72720,1
54,93895,1
54,111382,1
54,113458,1
