source,target,weight
0,98639,1
1,31545,1
1,65660,1
2,32681,1
3,106133,1
3,130774,1
4,6563,1
4,9709,1
4,97795,1
5,58273,1
5,64816,1
5,97932,1
6,31837,1
6,32541,1
6,38870,1
6,62048,1
6,99591,1
7,129930,1
8,63172,1
8,76373,1
8,96951,1
9,5137,1
9,63972,1
10,30993,1
10,48991,1
11,2338,1
11,110144,1
11,129086,1
12,19804,1
12,96107,1
13,46581,1
13,63128,1
14,14287,1
14,30149,1
15,99807,1
15,128242,1
16,56815,1
16,95263,1
17,62284,1
18,29305,1
19,78762,1
19,127398,1
20,16352,1
20,94419,1
21,2735,1
21,61440,1
21,72593,1
21,88101,1
22,28461,1
23,9057,1
23,126554,1
24,64512,1
24,65072,1
24,90064,1
24,93575,1
25,3351,1
25,60596,1
25,65321,1
26,27617,1
27,70074,1
27,86546,1
27,125710,1
28,2163,1
28,92731,1
29,33402,1
29,59220,1
29,59752,1
29,69785,1
30,26773,1
30,41458,1
30,47138,1
31,33475,1
31,124866,1
32,91887,1
33,10937,1
33,58908,1
34,25929,1
34,111271,1
35,20253,1
35,42006,1
35,124022,1
36,91043,1
37,58064,1
37,86586,1
38,25085,1
39,123178,1
40,640,1
40,90199,1
41,57220,1
42,24241,1
42,49196,1
42,89242,1
42,100324,1
42,109322,1
43,6752,1
43,122334,1
44,89355,1
45,15226,1
45,56376,1
45,111491,1
46,23397,1
47,121490,1
48,43316,1
48,88511,1
49,55532,1
49,104498,1
50,22553,1
50,101056,1
51,120646,1
52,20553,1
52,87667,1
53,54688,1
54,21709,1
54,46972,1
54,49630,1
54,119587,1
55,71762,1
55,119455,1
55,119802,1
56,86823,1
57,53844,1
58,20865,1
58,102421,1
58,112281,1
59,118958,1
60,85979,1
61,43616,1
61,53000,1
61,114803,1
62,20021,1
63,14033,1
63,69482,1
63,118114,1
64,36208,1
64,71399,1
64,85135,1
64,87285,1
65,31551,1
65,52156,1
66,19177,1
67,117270,1
68,84291,1
69,51312,1
69,78955,1
70,11497,1
70,18333,1
71,116426,1
71,124805,1
72,83447,1
73,50468,1
73,66689,1
73,113689,1
74,17489,1
75,77832,1
75,115582,1
76,82603,1
77,49624,1
78,16645,1
79,5594,1
79,114738,1
80,9863,1
80,28380,1
80,81759,1
81,48780,1
82,15801,1
82,51289,1
83,20940,1
83,113894,1
84,16983,1
84,80915,1
85,47936,1
85,56557,1
85,84584,1
86,14957,1
86,71382,1
86,75216,1
87,113050,1
88,77382,1
88,80071,1
88,93356,1
89,47092,1
89,127187,1
90,14113,1
90,92917,1
91,112206,1
92,79227,1
93,46248,1
94,13269,1
95,111362,1
96,78383,1
97,13068,1
97,15312,1
97,45404,1
97,61700,1
98,12425,1
98,63602,1
99,110518,1
100,77539,1
101,1260,1
101,6957,1
101,44560,1
102,11581,1
103,23401,1
103,109674,1
104,11643,1
104,76695,1
105,16141,1
105,43716,1
105,122376,1
106,10737,1
106,34850,1
106,47216,1
107,1812,1
107,95321,1
107,107892,1
107,108830,1
108,65603,1
108,75851,1
109,42872,1
109,86129,1
110,2888,1
110,9893,1
111,107986,1
112,30309,1
112,66412,1
112,75007,1
112,99551,1
113,42028,1
113,73551,1
114,9049,1
115,107142,1
116,7790,1
116,40218,1
116,74163,1
117,41184,1
117,64776,1
118,8205,1
118,51932,1
119,57010,1
119,94599,1
119,106298,1
120,53501,1
120,73319,1
121,40340,1
121,49203,1
122,7361,1
123,105454,1
123,109912,1
124,6016,1
124,72475,1
125,39496,1
126,6517,1
127,59520,1
127,104610,1
128,71631,1
129,20383,1
129,38652,1
130,5673,1
130,101286,1
131,103766,1
132,70787,1
133,37808,1
133,87428,1
134,4829,1
134,7177,1
134,122095,1
134,126499,1
135,102922,1
135,123204,1
136,22474,1
136,35892,1
136,69943,1
136,71543,1
136,91919,1
136,98315,1
137,36964,1
137,65888,1
138,3985,1
138,102536,1
139,24608,1
139,102078,1
139,114520,1
140,56712,1
140,69099,1
141,20461,1
141,36120,1
141,110408,1
142,3141,1
143,10595,1
143,101234,1
144,68255,1
144,74920,1
144,119348,1
145,35276,1
146,2297,1
146,42071,1
147,60884,1
147,100390,1
147,103900,1
148,58163,1
148,67411,1
149,16613,1
149,34432,1
149,53158,1
149,117846,1
150,1453,1
150,58408,1
150,109614,1
151,142,1
151,59545,1
151,88773,1
151,99546,1
152,66567,1
153,33588,1
154,609,1
154,13974,1
154,23716,1
155,98702,1
156,65723,1
157,25969,1
157,32744,1
157,75529,1
158,87301,1
158,130837,1
159,97858,1
160,2940,1
160,64879,1
160,66046,1
161,31900,1
162,129993,1
163,42547,1
163,91260,1
163,97014,1
164,64035,1
164,106435,1
164,129264,1
165,31056,1
165,61856,1
166,21292,1
166,90013,1
166,129149,1
167,96170,1
168,14300,1
168,63191,1
168,120457,1
168,125344,1
168,129976,1
169,30212,1
169,98899,1
169,126823,1
170,48689,1
170,128305,1
171,78377,1
171,95326,1
171,116613,1
172,62347,1
172,120745,1
173,29368,1
174,10083,1
174,127461,1
175,94482,1
175,95173,1
176,42966,1
176,61503,1
177,28524,1
178,126617,1
179,93638,1
180,60659,1
181,27680,1
181,48438,1
182,125773,1
183,8364,1
183,92794,1
184,40856,1
184,59815,1
185,26836,1
186,124929,1
186,127754,1
187,91950,1
188,58971,1
188,84416,1
189,25992,1
189,100240,1
190,74516,1
190,124085,1
190,129775,1
191,91106,1
192,58127,1
192,99665,1
193,25148,1
193,28403,1
193,119723,1
194,21567,1
194,123241,1
195,90262,1
196,45791,1
196,57283,1
196,121564,1
197,24304,1
198,92434,1
198,122397,1
199,89418,1
200,602,1
200,56439,1
200,68823,1
201,23460,1
201,26463,1
201,97973,1
202,121553,1
203,41865,1
203,88574,1
203,109487,1
204,55595,1
205,22616,1
205,94164,1
206,3379,1
206,120709,1
207,87730,1
207,99023,1
208,54751,1
208,119686,1
209,21772,1
209,34114,1
209,119358,1
210,2792,1
210,66753,1
210,81976,1
210,88788,1
210,103490,1
210,119865,1
211,19065,1
211,86886,1
212,53907,1
212,127409,1
213,9762,1
213,12418,1
213,20928,1
214,21128,1
214,119021,1
215,41467,1
215,86042,1
216,53063,1
217,14397,1
217,20084,1
218,51628,1
218,118177,1
219,72013,1
219,85198,1
220,52219,1
221,19240,1
221,40123,1
222,57379,1
222,117333,1
223,84354,1
224,51375,1
225,18396,1
226,102411,1
226,116489,1
227,83510,1
228,17948,1
228,50531,1
228,71735,1
228,97462,1
228,110027,1
229,17552,1
229,82341,1
230,25373,1
230,42558,1
230,88451,1
230,115645,1
231,82666,1
231,82715,1
232,16268,1
232,49687,1
232,68074,1
233,16708,1
234,69949,1
234,97117,1
234,114801,1
235,81822,1
235,122387,1
236,48843,1
237,15864,1
238,113957,1
239,36495,1
239,80978,1
240,31124,1
240,47999,1
241,15020,1
241,124949,1
242,94174,1
242,113113,1
243,80134,1
244,47155,1
244,91896,1
245,14176,1
245,68455,1
245,72531,1
245,103755,1
246,16648,1
246,112269,1
247,79290,1
248,46311,1
248,80058,1
249,13332,1
250,57774,1
250,111425,1
251,71562,1
251,78446,1
252,28906,1
252,45467,1
252,58090,1
252,113436,1
253,12488,1
254,44088,1
254,110581,1
255,77602,1
256,42874,1
256,44623,1
257,11644,1
257,72392,1
257,119478,1
258,72097,1
258,109737,1
259,76758,1
260,43779,1
261,10800,1
262,108893,1
262,129928,1
263,10597,1
263,53330,1
263,75914,1
264,42935,1
265,9956,1
265,79712,1
266,108049,1
267,75070,1
268,3458,1
268,42091,1
268,58185,1
268,114984,1
268,121835,1
269,9112,1
270,22138,1
270,76572,1
270,107205,1
271,74226,1
272,41247,1
272,106860,1
273,8268,1
273,12219,1
274,106361,1
275,29964,1
275,33439,1
275,72088,1
275,73382,1
276,40403,1
276,101125,1
276,102686,1
277,7424,1
278,65957,1
278,105517,1
278,115569,1
279,72538,1
280,39559,1
280,59015,1
280,111569,1
281,6580,1
281,12952,1
282,104673,1
283,30011,1
283,71694,1
283,81577,1
284,38715,1
285,5736,1
285,76357,1
286,103829,1
286,126302,1
287,28813,1
287,70850,1
288,37871,1
289,4892,1
289,64539,1
290,43353,1
290,102985,1
291,22697,1
291,70006,1
291,128350,1
292,5441,1
292,37027,1
293,4048,1
293,22171,1
293,111815,1
294,14629,1
294,102141,1
295,69162,1
296,36183,1
296,64727,1
297,3204,1
297,88167,1
298,85720,1
298,101297,1
299,68318,1
300,35339,1
300,44996,1
300,111264,1
301,2360,1
301,96164,1
302,100453,1
303,67474,1
304,34495,1
304,116476,1
305,1516,1
305,121896,1
306,99609,1
307,66630,1
308,33651,1
309,672,1
309,50503,1
310,98765,1
310,128584,1
311,65786,1
311,79728,1
312,32807,1
313,130900,1
314,97921,1
315,64942,1
316,31963,1
317,47473,1
317,92088,1
317,119614,1
317,130056,1
318,97077,1
319,64098,1
320,31119,1
321,129212,1
322,96233,1
323,63254,1
324,30275,1
324,104732,1
325,128368,1
326,85512,1
326,90966,1
326,95389,1
327,62410,1
328,29431,1
328,109833,1
329,41620,1
329,83553,1
329,127524,1
330,68296,1
330,94545,1
331,61566,1
332,6266,1
332,28587,1
333,78267,1
333,91650,1
333,97347,1
333,126680,1
334,93701,1
334,115098,1
335,60722,1
336,27743,1
336,43883,1
337,43354,1
337,125836,1
338,91770,1
338,92857,1
338,97875,1
339,59878,1
340,26899,1
341,39956,1
341,52784,1
341,124992,1
342,10013,1
342,79144,1
342,92013,1
342,102336,1
343,59034,1
344,26055,1
345,101547,1
345,124148,1
346,91169,1
346,103742,1
347,7935,1
347,23376,1
347,36742,1
347,58190,1
348,21124,1
348,25211,1
349,56997,1
349,107653,1
349,123304,1
350,90325,1
350,128177,1
351,24880,1
351,57346,1
352,24367,1
352,78110,1
353,93789,1
353,122460,1
354,3556,1
354,89481,1
355,26749,1
355,30226,1
355,43950,1
355,56502,1
356,23523,1
357,116085,1
357,121616,1
358,88637,1
358,109814,1
359,42248,1
359,55658,1
359,66659,1
359,116731,1
360,22679,1
361,112524,1
361,120772,1
362,7893,1
362,67302,1
362,70814,1
362,87793,1
363,54814,1
363,91360,1
364,3534,1
364,21835,1
364,23079,1
364,53228,1
365,6448,1
365,118230,1
365,119928,1
366,12067,1
366,86949,1
367,53970,1
368,20991,1
369,119084,1
370,86105,1
371,49767,1
371,53126,1
371,74506,1
371,88253,1
372,20147,1
372,21951,1
372,60214,1
373,118240,1
374,46367,1
374,85261,1
375,52282,1
376,13602,1
376,19303,1
377,59682,1
377,117396,1
378,2352,1
378,84417,1
379,51438,1
380,18459,1
381,11812,1
381,30386,1
381,116552,1
382,3649,1
382,39697,1
382,83573,1
382,115388,1
383,50594,1
384,17615,1
384,19211,1
385,26350,1
385,59691,1
385,115708,1
386,82729,1
387,49087,1
387,49750,1
388,16771,1
389,114864,1
390,9603,1
390,81885,1
390,101188,1
391,48906,1
392,15927,1
392,39601,1
393,24382,1
393,114020,1
394,36075,1
394,58495,1
394,81041,1
395,48062,1
395,116272,1
396,15083,1
396,31931,1
396,94541,1
397,1569,1
397,113176,1
398,10933,1
398,80197,1
399,47218,1
399,110651,1
400,14239,1
400,51186,1
401,14541,1
401,112332,1
402,79353,1
403,22581,1
403,40524,1
403,46374,1
403,82137,1
404,13395,1
405,37022,1
405,59293,1
405,111488,1
406,78509,1
407,45530,1
408,12551,1
409,29117,1
409,110644,1
409,126511,1
410,77665,1
411,44686,1
412,11707,1
413,49251,1
413,109800,1
414,64290,1
414,71794,1
414,76821,1
414,120492,1
415,43842,1
416,10863,1
416,31933,1
416,35360,1
417,59989,1
417,108956,1
418,75977,1
418,94238,1
419,42998,1
419,98532,1
420,10019,1
421,24629,1
421,108112,1
422,75133,1
423,4134,1
423,42154,1
424,9175,1
424,54312,1
424,104001,1
425,20206,1
425,48355,1
425,107268,1
426,55611,1
426,74289,1
426,126599,1
427,11666,1
427,41310,1
427,119691,1
428,8331,1
428,70386,1
429,106424,1
430,24128,1
430,27822,1
430,73445,1
431,40466,1
431,117950,1
432,7487,1
432,75986,1
433,54198,1
433,105580,1
434,72601,1
435,39622,1
435,97897,1
436,6643,1
436,53609,1
437,55496,1
437,104736,1
438,65896,1
438,71757,1
439,38778,1
440,5799,1
440,57526,1
441,33521,1
441,34007,1
441,103892,1
442,70913,1
443,37934,1
444,4955,1
444,59175,1
445,103048,1
446,70069,1
447,37090,1
447,114860,1
448,1054,1
448,4111,1
448,68081,1
448,89874,1
449,13367,1
449,60879,1
449,102204,1
450,69225,1
450,77431,1
450,113986,1
451,33662,1
451,36246,1
451,107412,1
452,3267,1
452,11744,1
453,101360,1
